subset,bucket,val,count,std,min,max,mean,median,p25,p75
af-en,0.0-20.0,0,126607,0.6159559172476572,0.1,10.0,1.09267674606908,1.0,0.8333333333333334,1.1666666666666667
af-en,20.0-50.0,0,107975,0.33298796594477426,0.1,9.28125,0.9127161345435238,0.9090909090909091,0.7666666666666667,1.0434782608695652
af-en,50.0-120.0,0,33148,0.26211387013365595,0.1,6.9423076923076925,0.8973985376028114,0.9177276390008058,0.8111111111111111,1.015625
af-en,120.0-500.0,0,6559,0.14624786358575576,0.104,1.8613138686131387,0.9093023606927617,0.9169435215946844,0.8581824917963374,0.9752780833638919
af-en,500.0-∞,0,163,0.10236148986643404,0.5432977461447213,1.3259604190919674,0.9268631860273496,0.9341216216216216,0.8851909306223078,0.9683082717493652
am-en,0.0-20.0,0,28847,1.0921775539570657,0.1,9.88888888888889,1.6734406548486767,1.375,1.0,2.0
am-en,20.0-50.0,0,19324,0.6760928948568661,0.10714285714285714,9.8,1.5258817353280807,1.48,1.125,1.8518518518518519
am-en,50.0-120.0,0,27553,0.43354403415815096,0.1,7.538461538461538,1.5978523645050104,1.5737704918032787,1.3461538461538463,1.8101265822784811
am-en,120.0-500.0,0,12769,0.3772291522534704,0.1,7.252032520325203,1.4009505077958933,1.4090909090909092,1.1492063492063491,1.638036809815951
am-en,500.0-∞,0,45,0.38775172818822556,0.2421602787456446,1.9171817058096414,0.721236688532442,0.5661310259579728,0.4835766423357664,0.789198606271777
an-en,0.0-20.0,0,2863,0.2434041565769837,0.16666666666666666,3.3333333333333335,0.8626318563612224,0.8461538461538461,0.7142857142857143,1.0
an-en,20.0-50.0,0,3040,0.22167490489409433,0.175,4.8076923076923075,0.8275342741505872,0.8333333333333334,0.6923076923076923,0.9615384615384616
an-en,50.0-120.0,0,1008,0.15259526484020303,0.15384615384615385,1.32,0.8643527116330672,0.8653846153846154,0.7894736842105263,0.96
an-en,120.0-500.0,0,41,0.15790360820055557,0.11180124223602485,1.1056910569105691,0.9180702120371204,0.9086021505376344,0.875,1.0387596899224807
an-en,500.0-∞,0,6,0.0,0.9272976680384087,0.9272976680384087,0.9272976680384087,0.9272976680384087,0.9272976680384087,0.9272976680384087
as-en,0.0-20.0,0,57950,0.6262497382659812,0.1111111111111111,10.0,1.0257259159897016,1.0,0.7647058823529411,1.125
as-en,20.0-50.0,0,58995,0.3024456157983643,0.1,8.8,0.866927740012779,0.8571428571428571,0.7,1.0
as-en,50.0-120.0,0,18612,0.243729936956305,0.10714285714285714,5.3125,0.8820459777784707,0.8852459016393442,0.7647058823529411,1.0
as-en,120.0-500.0,0,2558,0.15211464908309363,0.10945273631840796,1.7202797202797202,0.9466136054527878,0.9563953488372093,0.8645841545132046,1.0294572945729459
as-en,500.0-∞,0,32,0.07386911599008927,0.8899835796387521,1.1768060836501901,0.9880521710334214,1.0,0.9001919385796545,1.0376863898960653
az-en,0.0-20.0,0,19812,0.8285878662935079,0.2,9.818181818181818,1.2766854924149418,1.0,0.8333333333333334,1.4285714285714286
az-en,20.0-50.0,0,52858,0.4369795811886657,0.1,8.909090909090908,1.1048330730601037,1.0416666666666667,0.8333333333333334,1.28125
