subset,ratio
af-en,1.0927
am-en,1.6734
an-en,0.8626
as-en,1.0257
az-en,1.2767
be-en,1.1594
bg-en,1.3114
bn-en,1.2056
br-en,1.1116
ca-en,1.1933
cs-en,1.2604
cy-en,1.025
da-en,1.2913
de-en,1.1423
dz-en,1.1034
ar-en,1.4668
el-en,1.2685
en-eo,1.4708
en-es,1.171
en-et,1.1632
en-eu,1.3598
en-fa,1.0702
en-fi,1.2344
en-fr,1.2739
en-fy,1.5183
en-ga,1.5923
en-gd,1.4062
en-gl,1.407
en-gu,1.3836
en-ha,1.7572
en-he,0.9709
en-hi,1.3672
en-hr,1.102
en-hu,1.1413
en-hy,1.8339
en-id,1.2051
en-ig,1.3458
en-is,1.2402
en-it,1.2354
en-ja,0.6733
en-ka,1.2569
en-kk,1.7207
en-km,1.8895
en-kn,1.7912
en-ko,0.8281
en-ku,1.4454
en-ky,1.3192
en-li,1.335
en-lt,1.2191
en-lv,1.1556
en-mg,1.3361
en-mk,1.1369
en-ml,1.5023
en-mn,1.0979
en-mr,1.4909
en-ms,1.2355
en-mt,1.2107
en-my,1.4628
en-nb,1.6668
en-nl,1.2188
en-nn,1.3338
en-no,1.1666
en-oc,1.9644
en-or,1.7566
en-pa,1.4025
en-pl,1.2035
en-ps,1.0895
en-pt,1.183
en-ru,1.1535
en-rw,1.4679
en-si,1.2337
en-sk,1.1124
en-sl,1.0792
en-sq,1.1577
en-sr,1.0974
en-sv,1.1791
en-ta,1.7499
en-te,1.3608
en-tg,1.8846
en-th,1.1456
en-tk,1.1288
en-tr,1.1927
en-tt,1.6521
en-ug,1.2615
en-uk,1.2293
en-ur,1.2424
en-uz,1.696
en-vi,1.2505
en-wa,1.5076
en-xh,1.6801
en-yi,1.6223
en-yo,1.5776
en-zh,0.5633
en-zu,1.4444
en-ne,1.3946
en-ro,1.1275
en-sh,1.1321
en-se,1.9319
