subset,ratio
af-en,1.0
am-en,1.375
an-en,0.8462
as-en,1.0
az-en,1.0
be-en,1.0
bg-en,1.1579
bn-en,1.0556
br-en,1.0
ca-en,1.0
cs-en,1.1053
cy-en,1.0
da-en,1.0625
de-en,1.0
dz-en,0.8
ar-en,1.3125
el-en,1.1
en-eo,1.1429
en-es,1.0588
en-et,1.0
en-eu,1.1538
en-fa,0.9412
en-fi,1.0714
en-fr,1.125
en-fy,1.1818
en-ga,1.2
en-gd,1.1111
en-gl,1.125
en-gu,1.1053
en-ha,1.4
en-he,0.875
en-hi,1.0833
en-hr,1.0
en-hu,1.0
en-hy,1.25
en-id,1.0667
en-ig,1.1875
en-is,1.0909
en-it,1.0714
en-ja,0.5556
en-ka,1.0556
en-kk,1.2727
en-km,1.4286
en-kn,1.4
en-ko,0.6
en-ku,1.1429
en-ky,1.0
en-li,1.1176
en-lt,1.0833
en-lv,1.0
en-mg,1.0
en-mk,1.0
en-ml,1.2857
en-mn,1.0
en-mr,1.1429
en-ms,1.0714
en-mt,1.0909
en-my,1.3333
en-nb,1.1667
en-nl,1.0714
en-nn,1.0
en-no,1.0
en-oc,1.25
en-or,1.3717
en-pa,1.0
en-pl,1.0
en-ps,0.9412
en-pt,1.0625
en-ru,1.0
en-rw,1.1579
en-si,1.1053
en-sk,1.0
en-sl,1.0
en-sq,1.0
en-sr,1.0
en-sv,1.0
en-ta,1.3077
en-te,1.1538
en-tg,1.3158
en-th,1.0
en-tk,1.0
en-tr,1.0588
en-tt,1.1111
en-ug,1.0
en-uk,1.0
en-ur,1.0
en-uz,1.3333
en-vi,1.1
en-wa,1.2
en-xh,1.3571
en-yi,1.2727
en-yo,1.4737
en-zh,0.4286
en-zu,1.3333
en-ne,1.1111
en-ro,1.0
en-sh,1.0
en-se,1.5
