subset,ratio
af-en,0.8333
am-en,1.0
an-en,0.7143
as-en,0.7647
az-en,0.8333
be-en,0.7222
bg-en,0.9412
bn-en,0.875
br-en,0.7222
ca-en,0.8824
cs-en,1.0
cy-en,0.8235
da-en,0.9231
de-en,0.8889
dz-en,0.6667
ar-en,1.0
el-en,0.875
en-eo,1.0
en-es,0.9091
en-et,0.8947
en-eu,1.0
en-fa,0.7368
en-fi,0.8947
en-fr,1.0
en-fy,1.0
en-ga,1.0
en-gd,1.0
en-gl,0.9444
en-gu,0.9412
en-ha,1.0
en-he,0.7059
en-hi,0.8947
en-hr,0.8182
en-hu,0.8333
en-hy,0.9231
en-id,0.9333
en-ig,1.0
en-is,0.9091
en-it,0.9231
en-ja,0.4
en-ka,0.8333
en-kk,1.0
en-km,1.0
en-kn,1.0
en-ko,0.4444
en-ku,1.0
en-ky,1.0
en-li,1.0
en-lt,1.0
en-lv,0.8889
en-mg,1.0
en-mk,0.8
en-ml,1.0
en-mn,0.8125
en-mr,0.9444
en-ms,0.9333
en-mt,1.0
en-my,1.0588
en-nb,1.0
en-nl,0.9286
en-nn,1.0
en-no,0.8571
en-oc,1.0
en-or,1.0
en-pa,0.8462
en-pl,0.8667
en-ps,0.7778
en-pt,0.9
en-ru,0.8571
en-rw,0.8333
en-si,0.8947
en-sk,0.8571
en-sl,0.7778
en-sq,0.8667
en-sr,0.8125
en-sv,0.8889
en-ta,1.0
en-te,1.0
en-tg,1.0
en-th,0.7895
en-tk,0.8571
en-tr,0.875
en-tt,0.9231
en-ug,1.0
en-uk,0.8571
en-ur,0.8571
en-uz,1.0
en-vi,0.9286
en-wa,1.0
en-xh,1.0
en-yi,1.0
en-yo,1.0
en-zh,0.3333
en-zu,1.0
en-ne,0.9167
en-ro,0.8571
en-sh,0.9375
en-se,1.0667
