subset,ratio
af-en,0.83-1.17
am-en,1.00-2.00
an-en,0.71-1.00
as-en,0.76-1.12
az-en,0.83-1.43
be-en,0.72-1.20
bg-en,0.94-1.50
bn-en,0.88-1.35
br-en,0.72-1.20
ca-en,0.88-1.33
cs-en,1.00-1.43
cy-en,0.82-1.06
da-en,0.92-1.42
de-en,0.89-1.17
dz-en,0.67-1.14
ar-en,1.00-1.67
el-en,0.88-1.43
en-eo,1.00-1.50
en-es,0.91-1.29
en-et,0.89-1.27
en-eu,1.00-1.47
en-fa,0.74-1.20
en-fi,0.89-1.37
en-fr,1.00-1.41
en-fy,1.00-1.60
en-ga,1.00-1.60
en-gd,1.00-1.60
en-gl,0.94-1.50
en-gu,0.94-1.47
en-ha,1.00-1.83
en-he,0.71-1.06
en-hi,0.89-1.43
en-hr,0.82-1.20
en-hu,0.83-1.27
en-hy,0.92-2.00
en-id,0.93-1.36
en-ig,1.00-1.55
en-is,0.91-1.36
en-it,0.92-1.36
en-ja,0.40-0.75
en-ka,0.83-1.38
en-kk,1.00-1.90
en-km,1.00-2.25
en-kn,1.00-2.00
en-ko,0.44-0.89
en-ku,1.00-1.56
en-ky,1.00-1.35
en-li,1.00-1.50
en-lt,1.00-1.33
en-lv,0.89-1.23
en-mg,1.00-1.53
en-mk,0.80-1.25
en-ml,1.00-1.69
en-mn,0.81-1.20
en-mr,0.94-1.50
en-ms,0.93-1.38
en-mt,1.00-1.25
en-my,1.06-1.71
en-nb,1.00-1.80
en-nl,0.93-1.33
en-nn,1.00-1.33
en-no,0.86-1.29
en-oc,1.00-2.15
en-or,1.00-1.94
en-pa,0.85-1.41
en-pl,0.87-1.32
en-ps,0.78-1.12
en-pt,0.90-1.31
en-ru,0.86-1.27
en-rw,0.83-1.69
en-si,0.89-1.38
en-sk,0.86-1.21
en-sl,0.78-1.20
en-sq,0.87-1.30
en-sr,0.81-1.21
en-sv,0.89-1.29
en-ta,1.00-1.80
en-te,1.00-1.46
en-tg,1.00-2.00
en-th,0.79-1.25
en-tk,0.86-1.31
en-tr,0.88-1.33
en-tt,0.92-1.67
en-ug,1.00-1.20
en-uk,0.86-1.33
en-ur,0.86-1.40
en-uz,1.00-1.88
en-vi,0.93-1.42
en-wa,1.00-1.67
en-xh,1.00-1.85
en-yi,1.00-1.77
en-yo,1.00-1.88
en-zh,0.33-0.60
en-zu,1.00-1.67
en-ne,0.92-1.50
en-ro,0.86-1.25
en-sh,0.94-1.22
en-se,1.07-2.29
