subset,ratio
af-en,0.81-1.10
am-en,1.16-1.86
an-en,0.72-0.98
as-en,0.74-1.05
az-en,0.73-1.16
be-en,0.61-1.10
bg-en,0.92-1.34
bn-en,0.83-1.19
br-en,0.65-1.10
ca-en,0.84-1.18
cs-en,0.96-1.31
cy-en,0.78-1.03
da-en,0.91-1.28
de-en,0.83-1.06
dz-en,0.66-0.99
ar-en,1.01-1.49
el-en,0.83-1.22
en-eo,0.91-1.27
en-es,0.90-1.19
en-et,0.82-1.12
en-eu,0.90-1.28
en-fa,0.73-1.08
en-fi,0.74-1.12
en-fr,0.95-1.26
en-fy,0.99-1.47
en-ga,0.98-1.42
en-gd,1.00-1.51
en-gl,0.87-1.28
en-gu,0.93-1.33
en-ha,0.89-1.24
en-he,0.66-0.94
en-hi,0.88-1.27
en-hr,0.74-1.07
en-hu,0.79-1.14
en-hy,0.88-1.57
en-id,0.91-1.28
en-ig,0.96-1.36
en-is,0.80-1.16
en-it,0.90-1.23
en-ja,0.32-0.56
en-ka,0.74-1.15
en-kk,0.95-1.63
en-km,1.01-1.88
en-kn,1.00-1.76
en-ko,0.38-0.67
en-ku,1.09-1.72
en-ky,0.99-1.33
en-li,0.98-1.40
en-lt,0.86-1.14
en-lv,0.84-1.09
en-mg,1.08-1.41
en-mk,0.77-1.13
en-ml,1.00-1.51
en-mn,0.71-1.11
en-mr,0.90-1.31
en-ms,0.91-1.30
en-mt,1.01-1.21
en-my,0.98-1.49
en-nb,0.96-1.50
en-nl,0.84-1.19
en-nn,0.96-1.26
en-no,0.73-1.09
en-oc,0.93-1.99
en-or,0.97-1.69
en-pa,0.82-1.29
en-pl,0.77-1.15
en-ps,0.76-1.08
en-pt,0.87-1.18
en-ru,0.84-1.16
en-rw,0.63-1.23
en-si,0.83-1.22
en-sk,0.81-1.10
en-sl,0.70-1.05
en-sq,0.84-1.19
en-sr,0.75-1.08
en-sv,0.78-1.11
en-ta,1.05-1.63
en-te,0.95-1.34
en-tg,0.84-1.37
en-th,0.72-1.06
en-tk,0.83-1.21
en-tr,0.82-1.17
en-tt,1.04-1.71
en-ug,1.01-1.55
en-uk,0.81-1.19
en-ur,0.81-1.14
en-uz,0.89-1.55
en-vi,0.86-1.26
en-wa,1.00-1.58
en-xh,0.97-1.54
en-yi,0.97-1.52
en-yo,1.01-1.72
en-zh,0.26-0.40
en-zu,0.99-1.50
en-ne,0.91-1.40
en-ro,0.83-1.15
en-sh,0.88-1.09
en-se,0.97-1.98
